kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
60468511-2,Abies alba Mill.,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
325658-2,Abies amabilis Douglas ex J.Forbes,NA,NA,NA,NA
261486-1,Abies cephalonica Loudon,NA,NA,NA,NA
1030488-2,Abies fraseri (Pursh) Poir.,NA,NA,NA,NA
1033427-2,Abies grandis (Douglas ex D.Don) Lindl.,NA,NA,24,"Zonneveld, 2019"
261599-1,Abies nordmanniana (Steven) Spach,NA,NA,24,"Zonneveld, 2019"
676607-1,Abies procera Rehder,NA,NA,24,"Zonneveld, 2019"
1044174-2,Abutilon theophrasti Medik.,NA,NA,42,"C-ValueDB, Šmarda et al. 2019"
470873-1,Acacia melanoxylon R.Br,NA,NA,26,C-ValueDB
60466122-2,Acaena anserinifolia (J.R.Forst & G.Forst) Druce,NA,NA,NA,NA
719952-1,Acaena caesiiglauca (Bitter) Bergmans,NA,NA,NA,NA
720015-1,Acaena inermis Hook.,NA,NA,NA,NA
720063-1,Acaena novae-zelandiae Kirk,NA,NA,NA,NA
720073-1,Acaena ovalifolia Ruiz & Pav.,NA,NA,NA,NA
44892-1,Acanthus mollis L.,NA,NA,56,"Zonneveld, 2019"
44920-1,Acanthus spinosus L.,NA,NA,NA,NA
781250-1,Acer campestre L.,26,n,"26, 52","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
56622-1,Acer cappadocicum Gled.,NA,NA,NA,NA
781412-1,Acer negundo L.,NA,NA,26,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
927504-1,Acer palmatum Thunb.,NA,NA,NA,NA
781455-1,Acer platanoides L.,NA,NA,26,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
781462-1,Acer pseudoplatanus L.,NA,NA,52,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1892-2,Acer saccharinum L.,NA,NA,NA,NA
